Liczba paczek,czas PD,czas BF,czas BF2,czas GH4
12,0.013962507247924805,0.016988754272460938,0.0009644031524658203,0.0
13,0.016953706741333008,0.036928415298461914,0.0019948482513427734,0.0
14,0.021915435791015625,0.07582592964172363,0.003986358642578125,0.0
15,0.02889728546142578,0.160569429397583,0.00797891616821289,0.0
16,0.030916929244995117,0.3500633239746094,0.012965202331542969,0.0
17,0.03390932083129883,0.7443385124206543,0.030945777893066406,0.0
18,0.03590273857116699,1.6415817737579346,0.05984020233154297,0.0
19,0.0419156551361084,3.4836819171905518,0.12164855003356934,0.0
20,0.054882049560546875,7.412500858306885,0.24434471130371094,0.0
21,0.0478975772857666,14.898713111877441,0.47675371170043945,0.0
