Liczba paczek,czas BF 0.25,czas BF 0.75
12,0.02992105484008789,0.016953229904174805
13,0.05151081085205078,0.03687477111816406
14,0.09873485565185547,0.07579731941223145
15,0.20943903923034668,0.16356277465820312
16,0.3939478397369385,0.3470737934112549
17,0.8262631893157959,0.8247954845428467
18,1.7403454780578613,1.7353582382202148
19,3.634408473968506,3.5701563358306885
20,7.714092254638672,7.757816791534424
21,15.646906852722168,16.24013376235962
