Liczba paczek,result PD,result GH1,result GH2,result GH3,result GH4
50,214568,125389,195916,203762,214568
55,237092,166739,213625,221211,237072
60,257524,160169,211173,255588,256904
65,240029,155803,194768,226128,238890
70,270155,161997,224048,247757,268594
75,331370,183529,309895,319470,330594
80,339859,215197,296876,332149,339467
85,338272,210204,279975,323460,338272
90,354955,222813,296282,325561,354649
95,391220,240840,322238,368438,389898
