Liczba paczek,result PD,result GH1,result GH2,result GH3,result GH4
50,248564,191119,238531,246889,248486
55,277580,206154,250066,275308,276891
60,301156,233762,271781,299090,301156
65,279903,243461,250687,279321,279903
70,313845,243286,284156,309699,313117
75,385298,296481,355397,384322,385298
80,405549,341592,370034,402200,405549
85,402339,293672,366862,399511,402286
90,432352,334824,394916,428407,432352
95,466827,383551,409490,466827,466329
