Liczba paczek,czas PD 0.25,czas PD 0.75
50,0.14162373542785645,0.4397926330566406
55,0.15658068656921387,0.47949934005737305
60,0.20644831657409668,0.6293172836303711
65,0.24334955215454102,0.7300758361816406
70,0.26030778884887695,0.8068368434906006
75,0.30219221115112305,0.9276800155639648
80,0.3650240898132324,1.1122548580169678
85,0.41486191749572754,1.274648904800415
90,0.4973139762878418,1.5291330814361572
95,0.572495698928833,1.7542808055877686
